FrogID,Weight,SUL,Trill,Pulses,PulseRate,CallDuration,FundFreq,DomFreq
F98,NA,21.1,1,14,14.5,0.90,648.70,1948
F98,NA,21.1,2,19,14.4,1.25,642.87,2061.8
F98,NA,21.1,3,25,14.8,1.62,NA,NA
0042,2.8,28.0,1,31,12.6,2.38,599.70,1835.7
0042,2.8,28.0,2,25,12.4,1.94,616.60,1668.8
0034,2.1,26.5,1,12,11.7,0.94,616.14,1776.5
NN1,NA,NA,1,19,13.2,1.37,617.28,1991.8
NN1-13,NA,NA,1,29,16.6,1.69,616.19,1792.6
NN2-13,NA,NA,1,36,17.1,2.05,616.61,1991.8
NN2-13,NA,NA,2,35,17.0,2.00,618.28,2024.1
NN2-13,NA,NA,3,37,17.0,2.12,622.97,2002.6
0342,NA,NA,1,23,12.8,1.73,NA,1604.2
0342,NA,NA,2,19,12.8,1.41,NA,1636.5
0342,NA,NA,3,25,12.6,1.90,NA,1814.2
0124,2.1,26.0,1,32,13.7,2.27,569.23,1878.8
0124,2.1,26.0,2,32,13.4,2.32,585.22,1830.3
0211,3.5,28.0,1,28,13.4,2.01,611.29,1991.8
0211,3.5,28.0,2,27,13.3,1.95,619.69,1991.8
0211,3.5,28.0,3,28,13.5,2.00,621.66,2013.4
0241,2.4,28.2,1,31,13.1,2.29,NA,1841.4
NN3-13,NA,NA,1,32,15.4,2.01,627.24,1981.1
NN3-13,NA,NA,2,27,14.7,1.772,620.93,1894.9
NN3-13,NA,NA,3,27,15.0,1.738,626.94,1981.1
NN3-13,NA,NA,4,9,10.3,0.773,NA,1808.8
NN3-13,NA,NA,5,33,15.3,2.092,601.87,1981.1
NN3-13,NA,NA,6,26,14.4,1.738,610.68,1808.8
NN3-13,NA,NA,7,25,13.3,1.8,595.75,1894.9
NN4-13,NA,NA,1,23,13.5,1.628,575.03,1760.3
NN4-13,NA,NA,2,24,13.5,1.706,583.50,1824.9
0221,1.8,24.6,1,30,15.5,1.866,606.65,1997.2
0221,1.8,24.6,2,26,15.6,1.606,631.57,1997.2
0221,1.8,24.6,3,27,15.2,1.715,645.37,2013.4
0221,1.8,24.6,4,29,15.3,1.834,645.03,2002.6
0221,1.8,24.6,5,28,15.2,1.775,638.61,1981.1
0311,1.7,24.3,1,22,11.5,1.833,569.10,1819.6
0311,1.7,24.3,2,28,13.5,1.997,578.81,1846.5
0232,2.0,26.2,1,34,14.4,2.292,608.32,1873.4
0232,2.0,26.2,2,35,14.1,2.407,612.90,1943.4
0232,2.0,26.2,3,38,13.7,2.691,610.05,1970.3
0232,2.0,26.2,4,36,13.7,2.557,625.23,1970.3
0232,2.0,26.2,5,30,14.4,2.016,630.04,1927.2
0232,2.0,26.2,6,32,14.3,2.172,628.45,1943.4
0313,2.2,26.3,1,27,15.1,1.725,623.84,1934.4
NN5-13,NA,26.4,1,29,13.8,2.03,629.65,2002.6
NN5-13,NA,26.4,2,30,14.0,2.073,633.74,1970.3
0322,2.6,27.3,1,34,15.5,2.134,634.42,1894.9
0322,2.6,27.3,2,31,15.6,1.929,635.05,1948.8
0322,2.6,27.3,3,31,15.6,1.927,638.28,1894.9
0322,2.6,27.3,4,28,15.4,1.754,629.24,1916.5
0322,2.6,27.3,5,31,15.3,1.965,628.05,1884.2
0322,2.6,27.3,6,32,15.3,2.027,630.19,1911.1
0324,NA,26.0,1,35,15.7,2.169,580.68,1824.9
NN6-13,NA,NA,1,30,15.6,1.86,656.67,1954.10
NN6-13,NA,NA,2,29,15.2,1.846,655.13,1991.80
NN6-13,NA,NA,3,32,15.5,1.997,660.15,1846.50
NN6-13,NA,NA,4,20,14.0,1.36,634.80,1868.00
3212,2.2,25.5,1,36,14.9,2.347,616.38,1908.4
3212,2.2,25.5,2,25,14.3,1.684,576.80,1733.4
3212,2.2,25.5,3,35,14.9,2.283,614.48,1927.2
3212,2.2,25.5,4,24,13.6,1.687,568.86,1746.9
3212,2.2,25.5,5,34,14.8,2.233,609.53,1924.5
3222,2.2,27.2,1,27,13.6,1.907,574.47,1862.6
3222,2.2,27.2,2,29,14.2,1.974,587.07,1889.5
3224,2.1,26.3,1,36,16.2,2.154,578.93,1892.2
3224,2.1,26.3,2,35,15.2,2.232,583.68,1881.5