FrogID,Call Num,Weight_g,SUL_mm,CallDuration_sec,FundFreq,DomFreq,RespTime_sec,,
0042,1,2.84,28,0.255,468.3,2002.6,0.404,,
0042,2,2.84,28,0.355,489.9,1970.3,0.527,,
0042,3,2.84,28,0.42,500.6,1991.8,0.839,,
UK1-2012,1,NA,NA,0.334,516.8,1571.9,0.931,,
UK1-2012,2,NA,NA,0.377,522.2,1593.5,0.49,,
UK1-2012,3,NA,NA,0.37,527.6,2110.3,0.96,,
UK1-2012,4,NA,NA,0.343,538.3,1636.5,0.568,,
UK1-2012,5,NA,NA,0.445,543.7,1641.9,0.575,,
UK1-2012,6,NA,NA,0.388,532.9,1571.9,0.676,,
0014,1,2.38,27.5,0.338,NA,1636.5,0.320,,
0014,2,2.38,27.5,0.304,NA,1464.3,0.389,,
0014,3,2.38,27.5,0.447,NA,1722.7,0.263,,
0014,4,2.38,27.5,0.281,NA,1550.4,0.313,,
0014,5,2.38,27.5,0.537,NA,1636.5,0.351,,
0014,6,2.38,27.5,0.456,NA,1464.3,0.272,,
0014,7,2.38,27.5,0.492,NA,1636.5,0.266,,
0014,8,2.38,27.5,0.707,NA,1636.5,0.294,,
0014,9,2.38,27.5,0.349,NA,1464.3,0.370,,
0014,10,2.38,27.5,1.056,NA,1636.5,5.778,,
0014,11,2.38,27.5,0.868,NA,1636.5,0.327,,
0014,12,2.38,27.5,0.949,NA,1722.7,14.552,,
0014,13,2.38,27.5,1.119,NA,1636.5,0.525,,
0014,14,2.38,27.5,0.967,NA,1722.7,0.405,,
0014,15,2.38,27.5,1.119,NA,1636.5,0.446,,
0014,16,2.38,27.5,1.146,NA,1636.5,11.949,,
0014,17,2.38,27.5,0.984,NA,1636.5,9.112,,
0014,18,2.38,27.5,0.546,NA,1636.5,0.560,,
0014,19,2.38,27.5,0.528,NA,1636.5,0.452,,
0014,20,2.38,27.5,0.492,NA,1722.7,0.291,,
0014,21,2.38,27.5,0.465,NA,1722.7,0.253,,
0014,22,2.38,27.5,0.537,NA,1808.8,0.424,,
0014,23,2.38,27.5,0.43,NA,1464.3,0.456,,
0014,24,2.38,27.5,0.859,NA,1808.8,6.834,,
0014,25,2.38,27.5,0.68,NA,1722.7,0.687,,
0014,26,2.38,27.5,0.814,NA,1722.7,0.323,,
0124,1,2.06,26,0.139,511.4,1518.1,1.68,,
0214,1,2.1,25.7,0.217,565.2,1690.4,1.192,,
0214,2,2.1,25.7,0.12,565.2,1733.4,NA,,
0214,3,2.1,25.7,0.244,554.5,1625.8,1.287,,
0214,4,2.1,25.7,0.224,554.5,1658.1,0.652,,
0214,5,2.1,25.7,0.126,570.6,1711.9,NA,,
0214,6,2.1,25.7,0.256,554.5,1668.8,0.384,,
0214,7,2.1,25.7,0.266,532.9,1631.1,1.15,,
0223,1,2.24,27,0.370,516.8,1609.6,0.673,,
0223,2,2.24,27,0.273,500.6,1932.6,0.833,,
0223,3,2.24,27,0.308,NA,2115.6,0.197,,
0223,4,2.24,27,0.238,506.0,1582.7,NA,,
0223,5,2.24,27,0.280,549.1,1636.5,0.533,,
0223,6,2.24,27,0.308,516.8,1841.1,1.139,,
0223,7,2.24,27,0.419,436.0,2088.7,0.284,,
0223,8,2.24,27,0.294,538.3,1615.0,0.614,,
0223,9,2.24,27,0.356,527.6,1571.9,NA,,
0223,10,2.24,27,0.182,506.0,1512.7,NA,,
0223,11,2.24,27,0.335,446.8,1641.9,0.525,,
0223,12,2.24,27,0.335,441.4,1776.5,0.452,,
0223,13,2.24,27,0.294,446.8,2142.6,0.728,,
0223,14,2.24,27,0.370,559.9,1695.7,0.64,,
0223,15,2.24,27,0.370,446.8,1571.9,0.625,,
0223,16,2.24,27,0.287,543.7,1749.6,NA,,
UK2-2013,1,NA,NA,0.246,570.6,1765.7,0.192,,
UK2-2013,2,NA,NA,0.191,624.5,1830.3,NA,,
UK2-2013,3,NA,NA,0.333,581.4,1701.1,0.447,,
UK2-2013,4,NA,NA,0.356,495.3,1765.7,0.428,,
UK2-2013,5,NA,NA,0.406,624.5,1679.6,0.507,,
UK2-2013,6,NA,NA,0.378,495.3,1765.7,0.523,,
UK2-2013,7,NA,NA,0.295,592.2,1808.8,0.509,,
UK2-2013,8,NA,NA,0.225,624.5,1830.3,0.414,,
UK2-2013,9,NA,NA,0.238,581.4,1830.3,NA,,
UK2-2013,10,NA,NA,0.245,613.7,1808.8,0.481,,
UK2-2013,11,NA,NA,0.346,570.6,1765.7,0.475,,
UK2-2013,12,NA,NA,0.368,473.7,1873.4,0.472,,
UK2-2013,13,NA,NA,0.353,527.6,1830.3,0.391,,
UK2-2013,14,NA,NA,0.348,592.2,1894.9,0.602,,
UK2-2013,15,NA,NA,0.321,570.6,1830.3,0.815,,
UK2-2013,16,NA,NA,0.248,613.7,1851.9,0.4,,
0221,1,1.78,24.6,0.271,NA,1717.3,0.697,,
0221,2,1.78,24.6,0.303,NA,1787.3,0.851,,
0221,3,1.78,24.6,0.255,NA,1792.6,1.493,,
0221,4,1.78,24.6,0.285,NA,1846.5,1.659,,
0144,1,2.02,25.6,0.212,454.9,1819.6,2.674,,
0144,2,2.02,25.6,0.137,446.8,1889.5,0.604,,
0144,3,2.02,25.6,0.184,465.7,1795.3,0.994,,
0311,1,1.68,24.25,0.526,586.8,1593.5,NA,,
0313,1,2.16,26.3,0.261,398.4,2008,NA,,
0313,2,2.16,26.3,0.236,409.1,2067.2,NA,,
0244,1,1.94,27.45,0.172,522.2,1563.8,NA,,
0324,1,NA,26,0.24,446.8,1685,1.388,,
0324,2,NA,26,0.245,500.6,1927.2,0.345,,
0324,3,NA,26,0.187,549.1,1722.7,NA,,
0324,4,NA,26,0.332,463,1744.2,0.394,,
0324,5,NA,26,0.399,576,1733.4,0.414,,
0324,6,NA,26,0.205,463,1706.5,NA,,
0324,7,NA,26,0.155,554.5,1701.1,NA,,
0324,8,NA,26,0.317,419.9,1755,0.629,,
2432,1,NA,27.6,0.381,438.7,1668.8,0.828,,
2432,2,NA,27.6,0.427,449.5,1760.3,0.924,,
2432,3,NA,27.6,0.442,446.8,1816.9,0.945,,
2432,4,NA,27.6,0.432,471,1833,1.074,,
2432,5,NA,27.6,0.366,468.3,1843.8,1.009,,
2432,6,NA,27.6,0.364,379.5,1827.6,0.941,,
2432,7,NA,27.6,0.588,444.1,1730.7,1.846,,
2432,8,NA,27.6,0.554,433.4,1722.7,0.639,,
UK3-2013,1,NA,NA,0.195,570.6,1717.3,1.193,,
UK3-2013,2,NA,NA,0.254,581.4,1755,0.824,,
UK3-2013,3,NA,NA,0.231,586.8,1771.1,0.572,,
UK3-2013,4,NA,NA,0.152,538.3,1523.5,NA,,
UK3-2013,5,NA,NA,0.129,554.5,1480.4,NA,,
UK3-2013,6,NA,NA,0.235,586.8,1771.1,1.263,,
UK3-2013,7,NA,NA,0.238,570.6,1728,0.578,,
UK3-2013,8,NA,NA,0.246,565.2,1722.7,NA,,
UK3-2013,9,NA,NA,0.262,549.1,1658.1,0.707,,
2243,1,2.2,26.6,0.157,592.2,1776.5,2.194,,
2243,2,2.2,26.6,0.203,586.8,1776.5,1.127,,
2243,3,2.2,26.6,0.212,559.9,1685,0.966,,
3222,1,2.24,27.2,0.194,463,1593.5,0.879,,
3222,2,2.24,27.2,0.184,452.2,1798,NA,,
3222,3,2.24,27.2,0.379,452.2,1728,0.436,,
3222,4,2.24,27.2,0.404,522.2,1771.1,0.279,,
3222,5,2.24,27.2,0.257,565.2,1706.5,NA,,
3222,6,2.24,27.2,0.203,565.2,1717.3,NA,,
3222,7,2.24,27.2,0.238,489.9,2002.6,0.154,,
3222,8,2.24,27.2,0.34,511.4,1744.2,0.389,,
3222,9,2.24,27.2,0.222,543.7,1658.1,NA,,
3222,10,2.24,27.2,0.33,476.4,1981.1,0.295,,
3222,11,2.24,27.2,0.216,457.6,2126.4,NA,,
3222,12,2.24,27.2,0.159,586.8,1803.4,NA,,
3222,13,2.24,27.2,0.146,586.8,1814.2,NA,,
3222,14,2.24,27.2,0.27,414.5,1981.1,NA,,